ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
1,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0000.jpg,0,hi,benzo,0,none,0,2688,102.0,67.0,1.0048354235214876,0.27465425030075596,1.0,0.79928635147190008,0.89833581734560375,59.728741534713329,60.21627686929839,27.459060435491963,9.8407675384761788,8.9442719099991592,56.0,57.431756487731526,-83.141146292492024,193.90999999999971,0.97426603841971726,0,0,0,0,0,102.03608630952381,67.462425595238102,1,1
2,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0001.jpg,0,hi,benzo,0,none,0,2889,114.0,71.0,1.0248528089240052,0.5664192600671929,1.0,0.79586776859504127,0.88325700426235432,66.943785613171443,65.513357416636794,26.683328128252668,10.000437820545065,8.9442719099991592,54.0,55.169527694949878,4.8734609216352274,202.73799999999966,0.97272727272727244,0,0,0,0,0,109.75666320526133,70.033575631706469,1,1
3,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0002.jpg,0,hi,benzo,0,none,0,2671,108.0,75.0,1.0197520850169435,0.53381888155580681,1.0,0.73097974822112755,0.89772122440454394,63.537445442243161,63.324560795950255,26.40075756488817,9.6724271386478051,8.5440037453175304,52.32590180780452,53.727190293459884,-28.091263287852446,193.36199999999963,0.97375136711629606,0,0,0,0,0,109.62074129539498,74.246724073380761,1,1
4,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0003.jpg,0,hi,benzo,0,none,0,3007,102.0,74.0,1.0042266981005317,0.39175042252089171,1.0,0.77023565573770492,0.90540017023876607,64.469328064229515,64.884512790033341,29.154759474226502,10.434119282037139,9.2195444572928871,58.798220799874287,59.316392824478719,20.560230600895821,204.29199999999963,0.97298171816858114,0,0,0,0,0,102.51180578649817,74.464915197871633,1,1
5,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0004.jpg,0,hi,benzo,0,none,0,2528,103.0,71.0,1.0037526992356338,0.38570834921934505,1.0,0.77904468412942984,0.89736526597702171,59.031151807362001,59.464274989274024,26.92582403567252,9.604438375992693,8.4852813742385695,54.0,54.463366226065034,-18.775770298411931,188.15199999999973,0.97249471052125414,0,0,0,0,0,102.3631329113924,71.071202531645568,1,1
6,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hi-none_0005.jpg,0,hi,benzo,0,none,0,2391,103.0,71.0,1.0207512626850268,0.56041746585726471,1.0,0.77629870129870127,0.88833904574023848,60.666751542109935,61.073725938409879,25.079872407968907,9.2075137617541269,8.0622577482985491,50.131777566242548,50.244827137240705,43.904746745052236,183.90999999999974,0.97155627793579813,0,0,0,0,0,103.89669594312004,70.513174404015061,1,1
7,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0000.jpg,0,hp,benzo,0,none,0,2390,108.0,58.0,1.0130168500868573,0.42008538376958793,1.0,0.75015693659761451,0.88331212943659909,58.100175328848991,58.694122363316758,25.45584412271571,9.1345085712543259,8.0622577482985491,50.982349886995202,52.725013443285448,14.335968627269446,184.39399999999978,0.96996753246753242,0,0,0,0,0,108.41464435146443,58.012970711297072,1,1
8,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0001.jpg,0,hp,benzo,0,none,0,2438,100.0,74.0,1.0082616988617625,0.42760001976505102,1.0,0.75061576354679804,0.88739044456466043,58.644573857865694,58.523499553598128,25.495097567963924,9.3568788824872033,8.2462112512353212,51.96407129818018,53.012820673622556,-45.719898836225546,185.80799999999971,0.97189555511261694,0,0,0,0,0,100.23174733388024,74.874487284659551,1,1
9,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0002.jpg,0,hp,benzo,0,none,0,2064,103.0,71.0,1.0027190826476327,0.32646909826853626,1.0,0.79354094579008072,0.89734697727169999,52.724064247155816,53.009433122794285,24.413111231467404,8.7405561940347809,7.6157731058639087,49.115249081193639,49.835200753901262,41.267432735360323,170.01199999999989,0.97381457891012035,0,0,0,0,0,103.29602713178295,72.059108527131784,1,1
10,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0003.jpg,0,hp,benzo,0,none,0,3106,89.0,73.0,1.0734937318275224,0.63069938372822298,1.0,0.67229437229437228,0.71672250094653867,72.719679034369179,69.892775020026207,23.706539182259394,8.9729954319891938,8.0622577482985491,60.166180124462201,56.432452289957325,29.331091161313545,233.3619999999996,0.91272406699970599,0,0,0,0,0,98.876046361880228,76.149388280746948,1,1
11,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0004.jpg,0,hp,benzo,0,none,0,1941,89.0,76.0,1.0045037618352124,0.39931453962881797,1.0,0.77671068427370948,0.90407298137545977,51.907070371336978,52.201532544552748,23.259406699226016,8.4435466154221182,7.6157731058639087,46.957427527495582,47.58912847133908,31.512673636063926,164.25399999999991,0.97050000000000003,0,0,0,0,0,89.085522926326632,75.19268418341062,1,1
12,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_hp-none_0005.jpg,0,hp,benzo,0,none,0,1813,110.0,72.0,1.0097799968071011,0.47931716909179356,1.0,0.78689236111111116,0.90575816027325495,51.289842420806735,51.400389103585589,22.472205054244231,8.1541105043154527,7.0710678118654755,44.547727214752491,45.014107353691486,-43.850685400536712,158.59799999999993,0.97003745318352086,0,0,0,0,0,110.18587975730833,72.151682294539441,1,1
13,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0000.jpg,0,p1,benzo,0,none,0,5588,101.0,70.0,1.0032109718587929,0.34219703294198417,1.0,0.78285233959092182,0.88678446271333122,86.952603509713015,87.206651122491792,39.849717690342551,14.141639988298037,12.529964086141668,80.176318154942493,81.703120005845975,-68.002220655254476,281.39999999999941,0.97974927675988432,0,0,0,0,0,100.38439513242663,69.303328561202576,1,1
14,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0001.jpg,0,p1,benzo,0,none,0,6936,100.0,71.0,1.0016285167872998,0.27384043914682443,1.0,0.7688726305287662,0.88059031174608438,95.722417906443766,96.74709297958259,45.0,15.72683399079588,13.928388277184119,91.826848487208707,92.06344158282883,2.0886033659015424,314.60999999999927,0.97945350561321776,0,0,0,0,0,100.06271626297578,70.258217993079583,1,1
15,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0002.jpg,0,p1,benzo,0,none,0,9797,93.0,72.0,1.0015474874489219,0.31072213724603198,1.0,0.7881737731295253,0.90016512591891706,114.38369527877825,114.93476410555685,53.851648071345039,18.710427895637807,16.492422502470642,108.24012439156695,108.72179282395429,14.487820001379657,369.81999999999908,0.98393090288239426,0,0,0,0,0,95.132693681739312,72.553128508727156,1,1
16,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0003.jpg,0,p1,benzo,0,none,0,10318,95.0,74.0,1.0017671947269733,0.23791640673052772,1.0,0.77357924726345784,0.88218582496611619,116.18333928955047,117.5457357797381,55.226805085936306,19.143329356560152,16.970562748477139,112.25061247048944,112.84720839759392,74.60540906461776,383.37399999999894,0.98346280322165558,0,0,0,0,0,94.481294824578413,74.112134134522194,1,1
17,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0004.jpg,0,p1,benzo,0,none,0,7079,101.0,69.0,1.0023641049957863,0.26640285309425582,1.0,0.76820401519262071,0.88742676056340108,96.637813371728598,98.086696345630884,46.227697325304881,15.892131252346804,14.0,92.662656987591291,93.145494256259198,-73.052618535147772,316.60999999999927,0.97958901266173104,0,0,0,0,0,100.23393134623534,69.862127419126992,1,1
18,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p1-none_0005.jpg,0,p1,benzo,0,none,0,5823,111.0,85.0,1.0030564692892092,0.25786648785259197,1.0,0.81554621848739495,0.89555531474631089,87.584187252730473,89.643739324059879,41.231056256176608,14.413302636761914,12.727922061357855,82.789072085951005,84.622139083391701,28.33781141935069,285.84599999999949,0.98079838302172817,0,0,0,0,0,112.24832560535806,85.955349476215005,1,1
19,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0000.jpg,0,p14,benzo,0,none,0,4919,99.0,61.0,1.0026469292135738,0.29155563300422999,1.0,0.77832278481012662,0.88631755523277578,80.878490200569274,81.688432473637292,37.8549864614954,13.290677372222364,11.704699910719626,76.405396506952414,77.364633082311343,48.140847165631165,264.08799999999945,0.97861334924898036,0,0,0,0,0,99.942671274649314,60.883106322423259,1,1
20,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0001.jpg,0,p14,benzo,0,none,0,5324,116.0,69.0,1.0051839141708065,0.35525670608615156,1.0,0.76428366350846966,0.88966051945752256,85.165652490394834,86.353922898731128,38.832975677895199,13.755675108698082,12.083045973594572,79.597285089984538,79.610193109064284,70.197486605412834,274.22799999999944,0.97858652697362392,0,0,0,0,0,115.71168294515402,68.30691209616829,1,1
21,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0002.jpg,0,p14,benzo,0,none,0,9672,106.0,76.0,1.0218656821565255,0.55241753282941408,1.0,0.75840978593272168,0.86131892560339307,121.65819290932444,121.82774724995944,49.040799340956916,18.059971627283065,16.124515496597098,99.966125094096753,101.41032245832758,55.967220775634964,375.64799999999906,0.98078385641129628,0,0,0,0,0,103.97105045492142,69.536600496277913,1,1
22,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0003.jpg,0,p14,benzo,0,none,0,5419,103.0,75.0,1.0013591866427336,0.2586406160713467,1.0,0.75896358543417364,0.87232076659838931,84.431985266200044,84.929382430346209,40.36087214122113,13.97541524981847,12.206555615733702,81.317279836452968,81.559070328237141,52.790914856636931,279.39999999999941,0.97595677622692445,0,0,0,0,0,102.75475179922495,74.386971766008486,1,1
23,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0004.jpg,0,p14,benzo,0,none,0,4661,103.0,83.0,1.0032203395886214,0.28513990747751389,1.0,0.8069598337950139,0.89820697818654804,78.677993237127041,80.430093870391573,37.054014627297811,12.918376566232304,11.401754250991379,74.472741249326859,75.411747677885458,45.631352353447255,255.36199999999948,0.9788932059225034,0,0,0,0,0,102.03561467496246,82.245440892512335,1,1
24,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_p14-none_0005.jpg,0,p14,benzo,0,none,0,5254,99.0,71.0,1.0057783957787261,0.37242526616924831,1.0,0.745565488860508,0.88775154273869283,84.913087091517198,86.884981440983225,38.327535793473601,13.599569407922585,12.041594578792296,76.920738425992766,78.804625227793466,5.568910870237108,272.71199999999931,0.97776123569368212,0,0,0,0,0,100.74076893795204,71.051579748762848,1,1
25,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0000.jpg,0,s,benzo,0,none,0,6496,99.0,68.0,1.0187936610734922,0.54445448882031799,1.0,0.76748582230623819,0.86912039953073839,99.315677509546447,100.12492197250393,39.698866482558415,14.818296485257632,13.152946437965905,83.173937805847601,83.305035353157194,49.949884994954921,306.4699999999994,0.97618153129461271,0,0,0,0,0,98.285714285714292,64.619150246305423,1,1
26,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0001.jpg,0,s,benzo,0,none,0,5280,115.0,70.0,1.0008431242459606,0.15009209166771989,1.0,0.78524687685901251,0.90239970065148345,82.381872455230678,82.855295545909442,39.698866482558415,13.814618538394315,12.083045973594572,80.954308100310513,81.448652288688933,27.225951384621638,271.15799999999939,0.98086568827791198,0,0,0,0,0,114.95056818181818,69.150757575757581,1,1
27,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0002.jpg,0,s,benzo,0,none,0,5442,100.0,74.0,1.0039769526221092,0.37967404938520127,1.0,0.79006968641114983,0.89559637572327067,86.46656231389332,87.458561616344909,39.698866482558415,13.97103116833471,12.206555615733702,80.033955058238575,79.991974252610177,55.091515175107816,276.32999999999936,0.97992257135140004,0,0,0,0,0,99.832047041528853,74.321021683204705,1,1
28,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0003.jpg,0,s,benzo,0,none,0,9425,104.0,68.0,1.0079053280283672,0.3420703226303724,1.0,0.75812419562419564,0.87427741502695955,113.15805938915665,115.24755962709145,49.396356140913873,17.846774945164555,15.811388300841896,105.94773747901876,106.33172652560739,40.131434111858411,368.06199999999899,0.97693703031873547,0,0,0,0,0,102.68763925729444,67.561273209549071,1,1
29,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0004.jpg,0,s,benzo,0,none,0,7136,103.0,65.0,1.0067958516419984,0.24922482927342299,1.0,0.80797101449275366,0.87128067399466502,97.017270769327524,99.809819156233317,44.407206622349037,15.658456914075529,13.928388277184119,90.801870234092917,93.955954225578978,-6.6826550434048109,320.81399999999934,0.97995056303213401,0,0,0,0,0,103.29610426008969,66.649243273542595,1,1
30,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/benzo_s-none_0005.jpg,0,s,benzo,0,none,0,5268,102.0,80.0,1.0036088618804526,0.35647040148943332,1.0,0.7742504409171076,0.89874387501967756,84.670278163732789,84.118963379252364,38.587562763149478,13.711954089243358,12.041594578792296,77.103327275306853,79.108001074212538,20.059327958050588,271.39999999999941,0.97972847312627842,0,0,0,0,0,103.35459377372817,80.800873196659069,1,1
31,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0000.jpg,0,hi,cntrl,0,hi,0,2881,176.0,41.0,1.0232729768271629,0.51816918843043147,1.0,0.81660997732426299,0.86486904675688125,65.782677555048679,64.884512790033341,26.248809496813376,9.9090251894073749,8.9442719099991592,54.203179015484096,56.262485926580403,14.318846971102916,204.59799999999967,0.97462787550744245,0,0,0,0,0,172.80006942034015,39.164873307879212,1,1
31,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0000.jpg,0,hi,cntrl,0,hi,0,2618,23.0,92.0,1.0181436658106466,0.52564283142386403,1.0,0.80603448275862066,0.88467806754773592,62.697270012386824,63.126856408346519,25.612496949731394,10.140686020228664,9.4339811320566032,51.029940177512927,53.336903813148481,30.236706424414272,192.83999999999975,0.97595526561043799,0,0,0,0,0,27.775783040488921,93.49045072574485,2,2
32,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0001.jpg,0,hi,cntrl,0,hi,0,2270,169.0,54.0,1.003092371921386,0.30721450681997386,1.0,0.77873070325900517,0.90122867571686227,55.120803929702383,55.569775957799216,25.495097567963924,9.0925385167560826,8.0311288741492746,51.753684916525742,52.455177988684362,86.842482598465736,177.90999999999985,0.97133076593923839,0,0,0,0,0,169.51762114537445,54.155947136563874,1,1
32,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0001.jpg,0,hi,cntrl,0,hi,0,1781,27.0,93.0,1.0080064923344043,0.4586910215265555,1.0,0.80954545454545457,0.89522691777434638,50.516243682919836,50.009999000199947,22.0,8.1039884010159966,7.0710678118654755,43.0,44.88852341789093,82.689519882292046,158.11399999999992,0.97163120567375894,0,0,0,0,0,26.556428972487367,93.275687815833805,2,2
33,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0002.jpg,0,hi,cntrl,0,hi,0,2707,177.0,73.0,1.122528359923413,0.78190060091307712,1.0,0.77809715435469962,0.82481254211164701,74.57263768223423,72.124891681027847,22.022715545545239,9.0004906394321615,8.0622577482985491,45.936022486993821,46.48881501364616,78.183654608514374,203.08199999999971,0.95907883082373813,0,0,0,0,0,174.8681196896934,60.855929072774288,1,1
33,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0002.jpg,0,hi,cntrl,0,hi,0,2435,41.0,98.0,1.0049561087990988,0.40215204737840515,1.0,0.7767145135566188,0.9080804806617766,58.175556808011422,57.9396237474839,26.172504656604801,9.4423828207850669,8.4852813742385695,52.942905280237454,53.263963115241694,-40.284266786119602,183.56599999999975,0.97380523895220961,0,0,0,0,0,41.175770020533882,98.535934291581114,2,2
34,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0003.jpg,0,hi,cntrl,0,hi,0,3000,163.0,42.0,1.0084113531167525,0.4513641948737695,1.0,0.78064012490241996,0.87998314433287717,65.42465665353609,66.068146636635717,29.0,10.358903385419556,9.0553851381374173,58.185908947098177,58.381026680079671,33.052677329177236,206.97999999999968,0.97228974234321841,0,0,0,0,0,161.41333333333333,40.600999999999999,1,1
34,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hi-hi_0003.jpg,0,hi,cntrl,0,hi,0,3097,37.0,106.0,1.0113369027085508,0.48191256090335394,1.0,0.7932889344262295,0.89407216408954937,67.103142826203609,67.742158217759794,29.529646120466801,10.500829502421515,9.2195444572928871,59.396969619669989,58.797069675511459,33.189691155377254,208.6359999999996,0.97558670656796342,0,0,0,0,0,34.923474329996772,104.92024539877301,2,2
